book_title,rating,author,genre
the ballad of songbirds and snakes a hunger games novel the hunger games,4.6,suzanne collins,adventure war science fiction romance action thriller
a court of wings and ruin a court of thorns and roses,4.8,sarah j maas,fantasy
the shadow work journal nd edition a guide to integrate and transcend your shadows the essential guidebook for shadow work,4.7,keila shaheen,self help
harry potter and the prisoner of azkaban harry potter book minalima edition,4.9,jk rowling,fantasy
moo baa la la la,4.9,sandra boynton,childrens literature picture book
the coworker,4.2,freida mcfadden,thriller mystery
rich dad poor dad what the rich teach their kids about money that the poor and middle class do not,4.7,robert kiyosaki,personal finance
percy jackson and the olympians the chalice of the gods percy jackson the olympians,4.7,rick riordan,fantasy adventure mythology
paw patrol phonics books in,4.6,jennifer liberts,childrens
first little readers parent pack guided reading level a irresistible books that are just the right level for beginning r,4.7,deborah schecter,nonfiction
hatchet,4.7,gary paulsen,young adult novel adventure novel survival story
the wager a tale of shipwreck mutiny and murder,4.5,david grann,nonfiction
im dead now what important information about my belongings business affairs and wishes,4.6,peter pauper press,nonfiction
the wonky donkey,4.8,craig smith,childrens picture books
